Dimension P: Psychological Capital,,,,,Definition: Psychological capital refers to an individual's positive psychological state of development
,Facet P1: Self-efficacy beliefs,,,,"Definition: Having the confidence to take on and put in the necessary effort to succeed at challenging tasks. High score on self-efficacy beliefs indicate that an individual believes they can perform effectively in challenging situations. They approach difficult tasks as challenges to be mastered rather than threats to be avoided. In contrast, individuals who score low on self-efficacy beliefs doubt their capabilities and may avoid challenging tasks. They believe that difficult tasks and situations are beyond their ability to handle."
,,,Question:,"When facing difficult tasks, I am certain that I will accomplish them.",
,,,Question:,"In general, I think that I can obtain outcomes that are important to me.",
,,,Question:,I believe I can succeed at most any endeavor to which I set my mind.,
,,,Question:,I will be able to successfully overcome many challenges.,
,,,Question:,I am confident that I can perform effectively on many different tasks.,
,,,Question:,"Even when things are tough, I can perform quite well.",
,Facet P2: Optimism,,,,"Definition: Optimism refers to a tendency of making a positive attribution about succeeding now and in the future.Individuals who score high in optimism expect good things to happen in their life and work. They maintain a positive outlook even in the face of setbacks, believing that they can influence positive outcomes through their actions. In contrast, individuals who score low in optimism hold a pessimistic view about the future and generally expect that worse outcomes are more likely to occur. They may feel that effort does not affect outcomes and are less persistent in the face of challenges."
,,,Question:,"In uncertain times, I usually expect the best.",
,,,Question:,"If something can go wrong for me, it will. (R)",
,,,Question:,I always look on the bright side of things.,
,,,Question:,I'm always optimistic about my future.,
,,,Question:,I hardly ever expect things to go my way. (R),
,,,Question:,Things never work out the way I want them to. (R),
,,,Question:,"I'm a believer in the idea that ""every cloud has a silver lining"".",
,,,Question:,I rarely count on good things happening to me. (R),
,Facet P3: Resilience ,,,,"Definition: Resilience refers to tendency to of sustaining and bouncing back when beset by problems and adversity, even beyond to attain success. Individuals who score high in resilience recover quickly from setbacks and use difficulties as a catalyst for growth. They are likely to emerge stronger from challenges and are adaptive in the face of adverse situations. In contrast, individuals who score low in resilience struggle to recover from setbacks and may be overwhelmed by challenges. They are less likely to see adversity as an opportunity for development and may stagnate or decline in performance when faced with difficulties."
,,,Question:,I tend to bounce back quickly after hard times,
,,,Question:,I have a hard time making it through stressful events (R),
,,,Question:,It does not take me long to recover from a stressful event. ,
,,,Question:,It is hard for me to snap back when something bad happens (R).,
,,,Question:,I usually come through difficult times with little trouble,
,,,Question:,I tend to take a long time to get over set-backs in my life (R),
Dimension S: Social Orientation,,,,,"Definition: A prosocial approach refers to the motivation and behaviors oriented towards benefiting others. This approach encompasses actions and initiatives taken by individuals or groups to help, support, or advance the well-being of others, often transcending self-interest or personal gains."
,Facet S1: Self-concern,,,,"Definition: Self-concern refers to the extent to which individuals focus on their own interests, benefits, and well-being in their decision-making and behaviors. Individuals with high self-concern are primarily motivated by outcomes that benefit themselves, such as achieving personal gains, rewards, or recognition. This orientation involves a focus on personal success and achievement, often considering how actions will impact one's own status, resources, or welfare. In contrast, individuals who score low in self-interest do not prioritize their personal gains very strongly. They may still consider personal benefits but are less driven by these considerations compared to those with high self-interest. Their actions may be less influenced by personal rewards or losses​."
,,,Question:,At work I am most concerned about my own needs and interests.,
,,,Question:,At work my personal goals and aspirations are the most important to me.,
,,,Question:,At work I consider my own wishes and desires to be most relevant.,
,"Facet S2: Reciprocation wariness (""Taker"")",,,,"Definition: Reciprocal wariness is a mindset that involves caution in returning help, motivated by the fear of being taken advantage of. Individuals with high reciprocation wariness are skeptical of others' intentions in social exchanges and tend to guard against overextending themselves to avoid exploitation. They are are very cautious about returning help, especially when there is a risk of being exploited. They may return help in smaller proportions than received, or only reciprocate when absolutely necessary, to minimize the chance of others taking advantage of their generosity. In contrast, those with low reciprocation wariness are less concerned about being exploited and more willing to return help freely. They tend to trust others' intentions more and are comfortable reciprocating generously without fearing negative consequences."
,,,Question:,It generally pays to let others do more for you than you do for them.,
,,,Question:,"In the long run, it's better to accept favors than to do favors for others.",
,,,Question:,You shouldn't offer to help someone if they don't ask for your help.,
,,,Question:,I feel used when people ask favors of me.,
,,,Question:,You should help others without expecting something in return. (R),
,,,Question:,Asking for another's help gives them power over your life.,
